incident_id,date,n_killed,n_injured,latitude,longitude,n_guns_involved,participan_age,participant_gendre,participant_status,,,,,,,,,,,,,,,,,,,,,,,,,,
139557,27/05/2014,0,0,0.61272951,0.917596674,0,1::20,0::Male||1::Male,0::Unharmed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139526,27/05/2014,0,0,0.64322046,0.789198944,0,0::26||1::29,0::Male||1::Male,0::Unharmed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
147218,27/05/2014,0,0,0.560511447,0.902795376,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
141284,27/05/2014,0,0,0.561059668,0.754912824,0,1::20,0::Female||1::Male||2::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
152658,27/05/2014,0,0,0.461301902,0.763428421,0,1::20,0::Male||1::Male||2::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
146915,27/05/2014,1,0,0.618374956,0.871411409,0,0::31,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
139890,27/05/2014,0,0,0.727289247,0.419661688,0,1::31,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140464,27/05/2014,0,0,0.598977783,0.901600372,0,1::20,0::Male,0::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
146913,27/05/2014,1,1,0.586402576,0.422418574,0,0::24,0::Male||1::Male,0::Killed||1::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139873,27/05/2014,1,0,0.543031509,0.861169577,0,0::18||1::19,0::Male||1::Male,0::Killed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
209034,27/05/2014,1,0,0.523561959,0.822276276,0,1::30,0::Male||1::Male||2::Male,0::Unharmed||1::Killed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140446,27/05/2014,0,0,0.431968992,0.844290012,0,1::20,0::Male,0::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
146910,27/05/2014,0,0,0.665147766,0.527148436,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139568,27/05/2014,0,0,0.605106772,0.90607183,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
195610,27/05/2014,0,0,0.612392261,0.804974695,0,1::25,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140134,27/05/2014,0,0,0.652598738,0.965027839,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
141573,27/05/2014,0,1,0.591088635,0.603885301,0,0::23,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139714,27/05/2014,1,0,0.622492774,0.60805244,0,1::20,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
156377,27/05/2014,0,1,0.548114874,0.795579015,0,1::19||2::21,0::Male||1::Female||2::Male,0::Injured||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140112,27/05/2014,0,1,0.662012434,0.960945527,0,0::18||1::32||2::25,0::Male||1::Male||2::Male,0::Injured||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
141540,27/05/2014,1,0,0.553119702,0.82680075,0,0::27,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
139712,27/05/2014,0,1,0.453603707,0.674498697,0,1::20,0::Male||1::Male,0::Injured||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140105,27/05/2014,0,1,0.455109775,0.705406572,0,1::20,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139986,27/05/2014,0,1,0.562987682,0.450199503,0,1::20,0::Male||1::Male||2::Male||3::Male,0::Injured||1::Unharmed||2::Unharmed||3::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139718,27/05/2014,1,0,0.453603707,0.674498697,0,0::67||1::28,0::Male||1::Male||2::Male,0::Killed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139328,27/05/2014,0,1,0.645707475,0.788014544,0,0::34,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
140081,27/05/2014,0,2,0.643905737,0.961224397,0,1::20,0::Male||1::Male,0::Injured||1::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
141273,27/05/2014,1,0,0.542477128,0.755704899,0,1::32,0::Male||1::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
139520,27/05/2014,0,1,0.644851264,0.78800394,0,0::22,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
151230,27/05/2014,0,2,0.514196001,0.61035338,0,1::20,0::Male,0::Injured||1::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
140066,27/05/2014,0,1,0.663820331,0.880414763,0,0::31,0::Male||1::Male,0::Injured||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
